Date De Création,Heure D'Opération (opération),Numéro (opération),Nom (activité),Nom (exposition),Date De Séance (seance),Heure De Début (seance),Nom,Code Postal,Ville,Pays,Numéro Du Billet,Type De Billet,Tarif,Pu Net Ttc,Quantité,État,Code-Barres Du Billet
18/05/2025,12:01,2025002063753,VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR),1925-2025. CENT ANS D'ART DÉCO,20/11/2025,12:45,8,75017,Paris,France,"2,02550007010003E+016","Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,0251120000001E+044"
18/05/2025,11:58,2025002063752,VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR),1925-2025. CENT ANS D'ART DÉCO,14/11/2025,12:45,8,75017,Paris,France,"2,02550007010003E+016","Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,0251114000001E+044"
18/05/2025,11:58,2025002063752,VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR),1925-2025. CENT ANS D'ART DÉCO,13/11/2025,12:45,8,75017,Paris,France,"2,02550007010003E+016","Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,0251113000001E+044"
19/09/2024,17:39,2024002011435,VL - CHRISTOFLE (AVEC CONFERENCIER EXTERIEUR) (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",23/01/2025,12:15,8,75017,Paris,France,2024000701000172,"Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,02501230000013E+043"
19/09/2024,17:39,2024002011435,VL - CHRISTOFLE (AVEC CONFERENCIER EXTERIEUR) (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",17/01/2025,12:15,8,75017,Paris,France,2024000701000171,"Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,02501170000013E+043"
19/09/2024,17:36,2024002011434,VL - CHRISTOFLE (AVEC CONFERENCIER EXTERIEUR) (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",10/01/2025,12:15,8,75017,Paris,France,2024000701000170,"Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,02501100000013E+043"
19/09/2024,17:36,2024002011434,VL - CHRISTOFLE (AVEC CONFERENCIER EXTERIEUR) (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",09/01/2025,12:15,8,75017,Paris,France,2024000701000169,"Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,02501090000013E+043"
19/12/2024,09:11,2024002057459,VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU,MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS,04/02/2025,15:45,9,75018,Paris,France,"2,02450007010004E+016","Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,02502040000013E+044"
12/01/2025,14:04,2025003001588,VA - TROPHÉE DE PAPIER,MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS,12/01/2025,14:30,10,75006,PARIS,France,"2,0255000201E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT ANNIVERSAIRE 2h,190.00,1.00,Valide,"2,02501120000011E+044"
12/01/2025,14:04,2025003001588,SUPPLEMENT SALLE GOUTER ANNIVERSAIRE,MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS,12/01/2025,16:30,10,75006,PARIS,France,"2,0255000202E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT ANNIVERSAIRE COMPLEMENT 1H,100.00,1.00,Valide,"2,02501120000011E+044"
16/10/2024,11:05,2024002022981,VL - COLLECTIONS DE DESIGN + PARCOURS MODE BIJOU,"PARCOURS MODE, BIJOUX, DESIGN",29/10/2024,13:45,11,75012,Paris,France,2024000701000307,"Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,02410290000013E+043"
13/03/2025,12:43,2025010011208,VG - 2H - MON OURS EN PELUCHE (archive),MON OURS EN PELUCHE,13/03/2025,12:45,12,,,,"2,0255000501E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 2h,150.00,1.00,Valide,"2,02503130000013E+044"
13/03/2025,10:22,2025011006592,VG - 1H30 - CHRISTOFLE (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",13/03/2025,10:15,13,80000,Amiens,France,"2,02550004030001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02503130000013E+044"
09/10/2025,11:01,2025003030746,VG - 1H30 - PAUL POIRET,"PAUL POIRET, LA MODE EST UNE FÊTE",09/10/2025,11:15,14,80800,Corbie,France,"2,02550004030002E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,0251009000001E+044"
19/12/2024,14:15,2024003013328,"VG - 1H30 - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX (archive)","L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX",19/12/2024,14:30,14,80800,Corbie,France,"2,02450004030001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02412190000013E+044"
13/03/2025,17:04,2025003009389,VG - 2H - CHRISTOFLE (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",13/03/2025,17:30,15,75016,Paris,France,"2,0255000501E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 2h,150.00,1.00,Valide,"2,02503130000013E+044"
25/06/2025,11:16,2025003018433,VA - MON PETIT OURS DE POCHE (archive),MON OURS EN PELUCHE,25/06/2025,10:30,16,93430,Villetaneuse,France,"2,0255000105E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT ATELIER 2h CHAMP SOCIAL,120.00,1.00,Valide,"2,0250625000001E+044"
25/06/2025,11:16,2025003018433,VA - MON PETIT OURS DE POCHE (archive),MON OURS EN PELUCHE,25/06/2025,10:30,16,93430,Villetaneuse,France,"2,0255000105E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT ATELIER 2h CHAMP SOCIAL,120.00,1.00,Valide,"2,0250625000001E+044"
15/10/2025,14:41,2025010034528,VA - L'ATELIER DES MOTIFS,"PAUL POIRET, LA MODE EST UNE FÊTE",15/10/2025,14:45,17,75013,Paris,France,"2,0255000105E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT ATELIER 2h CHAMP SOCIAL,120.00,1.00,Valide,"2,0251015000001E+044"
04/11/2025,14:20,2025010039309,VG - 1H30 - PAUL POIRET,"PAUL POIRET, LA MODE EST UNE FÊTE",04/11/2025,14:30,18,92340,Bourg-la-Reine,France,"2,02550004030003E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,0251104000001E+044"
03/12/2024,14:18,2024003011334,VG - 1H30 - CHRISTOFLE (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",03/12/2024,14:30,18,92340,Bourg-la-Reine,France,"2,02450004030001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02412030000013E+044"
19/11/2025,14:35,2025003037544,VG - 1H30 - 1925-2025. CENT ANS D'ART DECO,1925-2025. CENT ANS D'ART DÉCO,19/11/2025,15:00,18,92340,BOURG-LA-REINE,France,"2,02550004030003E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,0251119000001E+044"
05/12/2025,10:54,2025010046203,VG - 1H30 - PAUL POIRET,"PAUL POIRET, LA MODE EST UNE FÊTE",05/12/2025,11:00,19,92240,Malakoff,France,"2,02550004030004E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,160.00,1.00,Valide,"2,0251205000001E+044"
03/04/2025,14:49,2025010014245,VG - 2H - CHRISTOFLE (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",03/04/2025,15:00,20,91160,Ballainvilliers,France,"2,02550005010001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 2h,150.00,1.00,Valide,"2,0250403000001E+044"
03/10/2024,15:51,2024010002811,VG - 1H30 - LA NAISSANCE DES GRANDS MAGASINS (archive),LA NAISSANCE DES GRANDS MAGASINS,03/10/2024,16:15,21,75014,Paris,France,2024000403000028,"Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02410030000013E+043"
25/11/2025,10:30,2025011023785,VG - 1H30 - 1925-2025. CENT ANS D'ART DECO,1925-2025. CENT ANS D'ART DÉCO,25/11/2025,10:45,22,75450,PARIS CEDEX 09,France,"2,02550004030003E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,160.00,1.00,Valide,"2,0251125000001E+044"
17/09/2025,10:25,2025010030481,VG - 1H30 - PAUL POIRET,"PAUL POIRET, LA MODE EST UNE FÊTE",17/09/2025,10:30,22,75450,PARIS CEDEX 09,France,"2,02550004030002E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,160.00,1.00,Valide,"2,0250917000001E+044"
03/04/2025,10:23,2025011009013,VG - 2H - CHRISTOFLE (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",03/04/2025,10:45,22,75450,PARIS CEDEX 09,France,"2,02550005010001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 2h,150.00,1.00,Valide,"2,0250403000001E+044"
08/02/2025,12:50,2025010006215,VG - 1H30 - MON OURS EN PELUCHE (archive),MON OURS EN PELUCHE,08/02/2025,13:00,23,92000,Nanterre,France,"2,02550004030001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02502080000013E+044"
14/01/2025,16:08,2025003001863,"VG - 1H30 - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX (archive)","L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX",14/01/2025,16:15,23,92000,Nanterre,France,"2,0255000403E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02501140000013E+044"
09/10/2024,16:15,2024003003388,VG - 1H30 - LA NAISSANCE DES GRANDS MAGASINS (archive),LA NAISSANCE DES GRANDS MAGASINS,09/10/2024,16:15,23,92000,Nanterre,France,2024000403000044,"Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02410090000013E+043"
03/04/2025,13:29,2025003012117,VA - COULEURS AU MOYEN ÂGE,MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS,03/04/2025,13:30,24,75011,PARIS,France,"2,02550001010001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT ATELIER 2h -18 ANS,170.00,1.00,Valide,"2,0250403000001E+044"
12/12/2024,09:56,2024003012404,"VG - 2H - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX 11-18 ANS (archive)","L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX",12/12/2024,10:00,25,75007,Paris,France,"2,0245000501E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 2h,150.00,1.00,Valide,"2,02412120000013E+044"
26/10/2025,11:03,2025010036749,VG - 2H - PAUL POIRET,"PAUL POIRET, LA MODE EST UNE FÊTE",26/10/2025,11:15,26,75013,Paris,France,"2,02550005010001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 2h,175.00,1.00,Valide,"2,0251026000001E+044"
25/11/2025,13:43,2025003038420,VG - 2H - 1925-2025. CENT ANS D'ART DECO,1925-2025. CENT ANS D'ART DÉCO,25/11/2025,14:15,27,95290,L'Isle-Adam,France,"2,02550005010001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 2h,175.00,1.00,Valide,"2,0251125000001E+044"
17/10/2025,13:42,2025003031423,VG - 2H - PAUL POIRET,"PAUL POIRET, LA MODE EST UNE FÊTE",17/10/2025,14:00,28,75011,Paris,France,"2,02550005010001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 2h,150.00,1.00,Valide,"2,0251017000001E+044"
09/01/2025,18:32,2025010001339,"VG - 1H30 - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX (archive)","L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX",09/01/2025,19:00,29,92200,Neuilly-sur-Seine,France,"2,0255000403E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02501090000013E+044"
10/10/2024,15:18,2024003003568,VG - 1H30 - LA NAISSANCE DES GRANDS MAGASINS (archive),LA NAISSANCE DES GRANDS MAGASINS,10/10/2024,15:45,30,95150,Taverny,France,2024000403000048,"Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02410100000013E+043"
10/10/2024,15:18,2024003003568,VG - 1H30 - LA NAISSANCE DES GRANDS MAGASINS (archive),LA NAISSANCE DES GRANDS MAGASINS,10/10/2024,15:30,30,95150,Taverny,France,2024000403000047,"Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02410100000013E+043"
22/01/2025,14:19,2025003003129,"VG - 2H - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX 11-18 ANS (archive)","L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX",22/01/2025,14:30,31,92230,Gennevilliers,France,"2,0255000501E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 2h,150.00,1.00,Valide,"2,02501220000013E+044"
28/03/2025,13:47,2025003011449,"VG - 1H30 - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX (archive)","L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX",28/03/2025,15:00,32,35000,Rennes,France,"2,0255000404E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ENSEIGNEMENT SUP 1h30,105.00,1.00,Valide,"2,02503280000013E+044"
28/03/2025,13:47,2025003011449,"VG - 1H30 - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX (archive)","L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX",28/03/2025,14:30,32,35000,Rennes,France,"2,0255000404E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ENSEIGNEMENT SUP 1h30,105.00,1.00,Valide,"2,02503280000013E+044"
28/03/2025,13:47,2025003011449,"VG - 1H30 - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX (archive)","L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX",28/03/2025,14:00,32,35000,Rennes,France,"2,0255000404E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ENSEIGNEMENT SUP 1h30,105.00,1.00,Valide,"2,02503280000013E+044"
01/06/2025,08:46,2025002065665,VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR),1925-2025. CENT ANS D'ART DÉCO,15/11/2025,13:15,33,78996,Elancourt,France,"2,02550007010003E+016","Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,0251115000001E+044"
11/02/2025,14:11,2025002026116,"VL - PAUL POIRET, LA MODE EST UNE FÊTE (AVEC CONFERENCIER EXTERIEUR)","PAUL POIRET, LA MODE EST UNE FÊTE",04/10/2025,12:45,33,78996,Elancourt,France,"2,02550007010001E+016","Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,02510040000013E+044"
11/02/2025,13:30,2025002026081,"VL - PAUL POIRET, LA MODE EST UNE FÊTE (AVEC CONFERENCIER EXTERIEUR)","PAUL POIRET, LA MODE EST UNE FÊTE",20/09/2025,12:45,33,78996,Elancourt,France,"2,02550007010001E+016","Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,02509200000013E+044"
27/03/2025,15:20,2025010013225,"VG - 2h - UNE HISTOIRE DU BIJOU, DU XVIIIE SIÈCLE À NOS JOURS",GALERIE DES BIJOUX,27/03/2025,15:45,34,80121,NAPLES,Italie,"2,0255000505E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ENSEIGNEMENT SUP 2h,140.00,1.00,Valide,"2,02503270000013E+044"
27/03/2025,15:20,2025010013225,"VG - 2h - UNE HISTOIRE DU BIJOU, DU XVIIIE SIÈCLE À NOS JOURS",GALERIE DES BIJOUX,27/03/2025,15:30,34,80121,NAPLES,Italie,"2,0255000505E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ENSEIGNEMENT SUP 2h,140.00,1.00,Valide,"2,02503270000013E+044"
12/11/2024,14:22,2024010009496,VA - BIJOU DE METAL,"PARCOURS MODE, BIJOUX, DESIGN",12/11/2024,14:30,34,80121,NAPLES,Italie,2024000101000053,"Forfait (0 place, 0 visiteur)",Plein - FORFAIT ATELIER 2h -18 ANS,170.00,1.00,Valide,"2,02411120000013E+043"
12/11/2024,14:22,2024010009496,VA - BIJOU DE METAL,"PARCOURS MODE, BIJOUX, DESIGN",12/11/2024,14:15,34,80121,NAPLES,Italie,2024000101000052,"Forfait (0 place, 0 visiteur)",Plein - FORFAIT ATELIER 2h -18 ANS,170.00,1.00,Valide,"2,02411120000013E+043"
03/05/2025,14:10,2025003015024,"VA - CHEVALIERS, REINES ET EMPEREURS",MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS,03/05/2025,14:30,35,75006,PARIS,France,"2,0255000201E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT ANNIVERSAIRE 2h,190.00,1.00,Valide,"2,0250503000001E+044"
03/05/2025,14:10,2025003015024,SUPPLEMENT SALLE GOUTER ANNIVERSAIRE,MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS,03/05/2025,16:30,35,75006,PARIS,France,"2,0255000202E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT ANNIVERSAIRE COMPLEMENT 1H,100.00,1.00,Valide,"2,0250503000001E+044"
03/12/2025,13:29,2025010045724,VG - 1H30 - PAUL POIRET,"PAUL POIRET, LA MODE EST UNE FÊTE",03/12/2025,13:30,36,92320,Châtillon,France,"2,02550004030004E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,160.00,1.00,Valide,"2,0251203000001E+044"
07/03/2025,13:16,2025010010351,VG - 1H30 - CHRISTOFLE (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",07/03/2025,13:30,36,92320,Châtillon,France,"2,02550004030001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02503070000013E+044"
05/03/2025,13:13,2025003008420,VG - 1H30 - CHRISTOFLE (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",05/03/2025,13:30,36,92320,Châtillon,France,"2,02550004030001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02503050000013E+044"
08/10/2025,14:36,2025003030646,VG - 1H30 - PAUL POIRET,"PAUL POIRET, LA MODE EST UNE FÊTE",08/10/2025,14:45,37,75006,Paris,France,"2,02550004040001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ENSEIGNEMENT SUP 1h30,105.00,1.00,Valide,"2,0251008000001E+044"
30/09/2025,14:19,2025003029556,VG - 2H - SAVOIR-FAIRE ET LUXE À LA FRANÇAISE,MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS,30/09/2025,14:30,37,75006,Paris,France,"2,0255000503E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE CHAMP SOCIAL 2h,125.00,1.00,Valide,"2,0250930000001E+044"
04/07/2025,14:08,2025011013284,VT - 1h30 - Le musée des Arts décoratifs : toute une histoire !,MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS,04/07/2025,14:30,37,75006,Paris,France,"2,0255000601E+016","Forfait (0 place, 0 visiteur)",Plein - VISITE THEATRALISEE GROUPE,190.00,1.00,Valide,"2,0250704000001E+044"
09/04/2025,15:29,2025003012803,VG - 1H30 - CHRISTOFLE (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",09/04/2025,15:30,37,75006,Paris,France,"2,02550004040001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ENSEIGNEMENT SUP 1h30,105.00,1.00,Valide,"2,0250409000001E+044"
08/01/2025,16:45,2025002005052,VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU,MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS,19/03/2025,15:15,38,75009,Paris,France,"2,0255000701E+016","Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,02503190000013E+044"
23/03/2025,10:49,2025010012627,VG - 1H30 - VIVE L'ART NOUVEAU,MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS,23/03/2025,11:00,39,69007,Lyon,France,"2,02550004030001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02503230000013E+044"
09/11/2025,09:57,2025010040374,VG - 2H - 1925-2025. CENT ANS D'ART DECO,1925-2025. CENT ANS D'ART DÉCO,09/11/2025,10:15,40,9000,GAND,Belgique,"2,02550005010001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 2h,175.00,1.00,Valide,"2,0251109000001E+044"
09/11/2025,09:57,2025010040374,VG - 2H - 1925-2025. CENT ANS D'ART DECO,1925-2025. CENT ANS D'ART DÉCO,09/11/2025,10:00,40,9000,GAND,Belgique,"2,02550005010001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 2h,150.00,1.00,Valide,"2,0251109000001E+044"
